Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles Leclerc LEC,Ferrari,1:43.224,,24
2,11,Sergio Perez PER,Red Bull Racing RBPT,1:43.472,+0.248s,22
3,1,Max Verstappen VER,Red Bull Racing RBPT,1:43.580,+0.356s,18
4,14,Fernando Alonso ALO,Alpine Renault,1:44.142,+0.918s,22
5,55,Carlos Sainz SAI,Ferrari,1:44.274,+1.050s,25
6,10,Pierre Gasly GAS,AlphaTauri RBPT,1:44.315,+1.091s,26
7,63,George Russell RUS,Mercedes,1:44.548,+1.324s,26
8,22,Yuki Tsunoda TSU,AlphaTauri RBPT,1:44.567,+1.343s,24
9,31,Esteban Ocon OCO,Alpine Renault,1:44.609,+1.385s,24
10,4,Lando Norris NOR,McLaren Mercedes,1:44.771,+1.547s,23
11,5,Sebastian Vettel VET,Aston Martin Aramco Mercedes,1:44.781,+1.557s,27
12,44,Lewis Hamilton HAM,Mercedes,1:44.874,+1.650s,25
13,18,Lance Stroll STR,Aston Martin Aramco Mercedes,1:44.874,+1.650s,26
14,3,Daniel Ricciardo RIC,McLaren Mercedes,1:45.059,+1.835s,25
15,77,Valtteri Bottas BOT,Alfa Romeo Ferrari,1:45.115,+1.891s,25
16,24,Zhou Guanyu ZHO,Alfa Romeo Ferrari,1:45.264,+2.040s,24
17,20,Kevin Magnussen MAG,Haas Ferrari,1:45.588,+2.364s,26
18,23,Alexander Albon ALB,Williams Mercedes,1:46.397,+3.173s,13
19,47,Mick Schumacher MSC,Haas Ferrari,1:46.425,+3.201s,21
20,6,Nicholas Latifi LAT,Williams Mercedes,1:47.218,+3.994s,26
